# ANA B787 AOM PI.20.26  Flap Maneuver Speed  /  Sea Level Pressure Altitude
"# Effect. DEC 16, 2024  Rev.34   All Engines   speeds in KIAS"
# Flaps 25 maneuver speed based on VREF25 / Flaps 30 maneuver speed based on VREF30
# NOTE: 787-10 shows UP=234 at BOTH 440 and 420 (as printed; verify against original)
VARIANT,WEIGHT_1000LB,FLAP,KIAS
787-9/TRENT1000-D,500,UP,253
787-9/TRENT1000-D,500,1,231
787-9/TRENT1000-D,500,5,205
787-9/TRENT1000-D,500,10,191
787-9/TRENT1000-D,500,15/17/18,186
787-9/TRENT1000-D,500,20,181
787-9/TRENT1000-D,500,25,171
787-9/TRENT1000-D,500,30,166
787-9/TRENT1000-D,480,UP,249
787-9/TRENT1000-D,480,1,227
787-9/TRENT1000-D,480,5,202
787-9/TRENT1000-D,480,10,187
787-9/TRENT1000-D,480,15/17/18,182
787-9/TRENT1000-D,480,20,177
787-9/TRENT1000-D,480,25,168
787-9/TRENT1000-D,480,30,162
787-9/TRENT1000-D,460,UP,244
787-9/TRENT1000-D,460,1,222
787-9/TRENT1000-D,460,5,199
787-9/TRENT1000-D,460,10,184
787-9/TRENT1000-D,460,15/17/18,179
787-9/TRENT1000-D,460,20,174
787-9/TRENT1000-D,460,25,164
787-9/TRENT1000-D,460,30,159
787-9/TRENT1000-D,440,UP,239
787-9/TRENT1000-D,440,1,217
787-9/TRENT1000-D,440,5,195
787-9/TRENT1000-D,440,10,180
787-9/TRENT1000-D,440,15/17/18,175
787-9/TRENT1000-D,440,20,170
787-9/TRENT1000-D,440,25,160
787-9/TRENT1000-D,440,30,155
787-9/TRENT1000-D,420,UP,232
787-9/TRENT1000-D,420,1,212
787-9/TRENT1000-D,420,5,192
787-9/TRENT1000-D,420,10,177
787-9/TRENT1000-D,420,15/17/18,172
787-9/TRENT1000-D,420,20,166
787-9/TRENT1000-D,420,25,157
787-9/TRENT1000-D,420,30,151
787-9/TRENT1000-D,400,UP,228
787-9/TRENT1000-D,400,1,207
787-9/TRENT1000-D,400,5,188
787-9/TRENT1000-D,400,10,173
787-9/TRENT1000-D,400,15/17/18,168
787-9/TRENT1000-D,400,20,163
787-9/TRENT1000-D,400,25,153
787-9/TRENT1000-D,400,30,148
